student_id,akt_kode,fortolket_res,termin,belastning
8734,27220,bestået,F19,5
8734,E27-30,bestået,F20,30
8734,27432,bestået,E18,5
8734,27246,forsøg,E18,5
8734,27246,forsøg,E18,5
8734,27246,bestået,F19,5
8734,27460,bestået,E19,5
8734,42490,bestået,E18,10
8734,27322,forsøg,F19,10
8734,27322,bestået,F20,10
8734,27247,bestået,E18,5
8734,S27-10-1,bestået,E19,10
8734,27230,forsøg,E19,5
8734,27230,bestået,F20,5
8734,22110,ikke bestået,F20,10
8734,22110,forsøg,E19,10
8734,27405,bestået,E19,10
8733,22230,bestået,F20,5
8733,28855,bestået,F20,5
8733,27460,bestået,E19,5
8733,27230,bestået,E19,5
8733,27419,bestået,F20,5
8733,28480,bestået,E19,10
8733,27423,bestået,E19,5
8733,S27-05-1,bestået,F20,5
8733,27455,bestået,F20,5
8732,27430,bestået,E19,5
8732,28345,ikke bestået,F20,5
8732,28480,bestået,E19,10
8732,2443,bestået,F20,5
8732,27455,ikke bestået,F20,5
8731,27430,bestået,E19,5
8731,2450,bestået,F20,5
8731,28855,bestået,F20,5
8731,27303,bestået,E19,5
8731,27460,bestået,E19,5
8731,S27-05-2,bestået,F20,5
8731,27419,bestået,F20,5
8731,28480,bestået,E19,10
8731,22117,bestået,F20,5
8731,27423,bestået,E19,5
8731,S27-05-1,bestået,F20,5
8731,27455,bestået,F20,5
8730,27430,bestået,E19,5
8730,2450,forsøg,F20,5
8730,2450,bestået,F20,5
8730,27422,bestået,F20,5
8730,27230,bestået,E19,5
8730,2633,bestået,E19,5
8730,27405,bestået,E19,10
8730,2411,forsøg,F20,5
8730,2411,forsøg,E19,5
8730,2411,bestået,F20,5
8730,27455,bestået,F20,5
8729,27430,bestået,E19,5
8729,28855,bestået,F20,5
8729,27460,bestået,E19,5
8729,S27-05-2,bestået,F20,5
8729,27230,bestået,E19,5
8729,27255,bestået,F20,5
8729,28480,bestået,E19,10
8729,S27-05-1,bestået,F20,5
8729,27455,bestået,F20,5
8728,27430,bestået,E19,5
8728,22111,bestået,F20,5
8728,22115,bestået,F20,5
8728,27102,bestået,F20,5
8728,27322,bestået,F20,10
8728,27422,bestået,F20,5
8728,S27-10-1,bestået,F20,10
8728,27230,bestået,E19,5
8728,28480,bestået,E19,10
8728,27455,bestået,F20,5
8727,28855,bestået,F20,5
8727,27102,bestået,F20,5
8727,27220,bestået,F20,5
8727,27432,bestået,E19,5
8727,27322,bestået,F20,10
8727,27419,bestået,F20,5
8727,28233,bestået,E19,5
8727,22140,bestået,E19,5
8727,27405,bestået,E19,10
8727,2443,bestået,F20,5
8727,27423,bestået,E19,5
8726,27430,bestået,F20,5
8726,27430,forsøg,E19,5
8726,22115,ikke bestået,F20,5
8726,27220,bestået,F20,5
8726,42435,bestået,E19,5
8726,27432,bestået,E19,5
8726,42490,bestået,F19,10
8726,27322,bestået,F19,10
8726,27641,bestået,E19,5
8726,27419,bestået,F20,5
8726,27405,bestået,E19,10
8726,27324,bestået,F19,5
8725,22231,bestået,E19,5
