student_id;course
8730;27455
8729;27430
8729;28855
8729;27460
8729;S27-05-2
8729;27230
8729;27255
8729;28480
8729;S27-05-1
8729;27455
8728;27430
8728;22111
8728;22115
8728;27102
8728;27322
8728;27422
8728;S27-10-1
8728;27230
8728;28480
8728;27455
8727;28855
8727;27102
8727;27220
8727;27432
8727;27322
8727;27419
8727;28233
8727;22140
8727;27405
8727;2443
8727;27423
8726;27430
8726;27430
8726;22115
8726;27220
8726;42435
8726;27432
8726;42490
8726;27322
8726;27641
8726;27419
8726;27405
8726;27324
8725;22231
8725;22236
8725;28855
8725;S22-10-1
8725;27322
8725;27641
8725;27419
8725;22110
8725;22110
8725;S22-05-1
8725;27324
8725;27423
8722;23259
8722;S23-05-3
8722;S23-15-1
8720;27430
8720;23532
8720;27220
8720;27412
8720;27246
8720;27460
8720;27422
8720;27247
8720;27230
8720;23531
8720;27419
8720;27405
8720;S27-05-1
8718;22230
8718;27220
8718;27322
8718;27422
8718;42429
8717;27430
8717;22230
8717;28855
8717;27102
8717;27220
8717;27322
8717;27250
8717;28480
8717;23205
8717;27423
8716;23532
8716;23259
8716;27460
8716;27422
8716;27230
8716;27419
8716;27255
8716;2411
8716;28480
8716;27423
8716;27455
8715;27430
8715;28855
8715;27220
8715;27460
8715;27322
8715;27255
8715;27250
8715;28480
8715;23205
8713;28855
8713;27303
8713;27246
8713;23258
